genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge,reason,Least Concern,Critically Endangered,Endangered,Near Threatened,Vulnerable,Data Deficient,Lower Risk/near threatened,Lower Risk/conservation dependent,Extinct
Anthocarapa,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Anthocercis,1,10,FALSE,FALSE,FALSE,FALSE,FALSE,1,1725,FALSE,0,endemic,NA,1,0,0,0,0,0,0,0,0
Anthosachne,0.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Anthotium,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,249,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Anthotroche,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,316,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Antiaris,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Anticoryne,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,97,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Antidesma,0.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,2,0,0,0,0,0,0,0,0
Antirhea,0.6666666666666666,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,3,0,0,0,0,0,0,0,0
Antrophyum,0.25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Aotus,1,17,FALSE,FALSE,FALSE,FALSE,FALSE,1,11558,FALSE,0,endemic,NA,1,0,0,0,0,0,0,0,0
Apalochlamys,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,480,FALSE,1,endemic,Indo data error,0,0,0,0,0,0,0,0,0
Apatophyllum,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,205,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Aphananthe,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Aphanes,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.954835542464408,2037,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Aphanopetalum,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.992325056433409,2215,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Aphelia,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,1,2271,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Aphyllodium,0.8571428571428571,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Aphyllorchis,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,0.883333333333333,60,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Apium,0.6666666666666666,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Apluda,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Apodasmia,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,0.814411612234318,1929,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Apodytes,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,0.962616822429906,214,TRUE,5,non-endemic,NA,1,0,0,0,0,0,0,0,0
Aponogeton,1,11,FALSE,FALSE,TRUE,TRUE,TRUE,0.915577889447236,995,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
Apostasia,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Apowollastonia,1,7,FALSE,FALSE,FALSE,TRUE,FALSE,0.988725065047702,1153,TRUE,2,non-endemic,NA,0,0,0,0,0,0,0,0,0
Appendicula,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.426229508196721,122,TRUE,4,non-endemic,NA,0,0,0,0,0,0,0,0,0
Arabidella,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,2183,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Arachniodes,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Araucaria,0.3333333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,2,0,0,0,0,0,0,0,0
Archeria,1,5,TRUE,FALSE,FALSE,TRUE,FALSE,0.720248667850799,1126,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Archidendron,0.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,4,0,0,1,0,0,0,0,0
Archidendropsis,1,3,FALSE,TRUE,FALSE,TRUE,TRUE,0.89367816091954,348,TRUE,4,non-endemic,NA,2,0,0,0,0,0,0,0,0
Archirhodomyrtus,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.992596509783184,1891,FALSE,3,non-endemic,NA,0,0,0,0,0,1,0,0,0
Archontophoenix,1,6,FALSE,FALSE,FALSE,TRUE,FALSE,0.991408934707904,5820,FALSE,1,endemic,POWO data error,2,0,0,0,1,0,0,0,0
Ardisia,0.6666666666666666,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,2,0,0,0,0,0,0,0,0
Arenga,0.6666666666666666,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Areocleome,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,116,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Argentipallium,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,3472,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Argophyllum,1,11,FALSE,TRUE,FALSE,TRUE,FALSE,0.956072351421189,774,TRUE,3,non-endemic,NA,0,0,0,0,0,0,0,0,0
Argusia,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Argyrodendron,0.75,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
